Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
51.17379,0.8048641,0.57935184,-6.605128,-29.238173,0.083023906,1.0362165,1.7563983,2.7926148,0
163.42128,0.7283863,0.60392463,-40.715225,16.161406,0.10306065,0.24727151,0.27206793,0.51933944,0
94.56117,0.9310388,0.5987148,-17.960495,21.237507,0.13148248,2.6102767,9.007084,11.6173607,1
111.438614,1.0422937,0.243536,11.1559105,-18.488409,0.0,2.75452,1.0778445,3.8323644999999997,1
114.587585,0.9594506,0.66478455,26.491005,24.622381,0.19830577,10.081397,16.08122,26.162616999999997,1
221.1954,0.6997398,0.53858465,-8.028892,-5.236277,0.4427258,5.9432554,0.61549264,6.55874804,1
34.571,0.98057246,0.6096349,13.44117,44.365475,0.08939599,1.1084393,0.31910214,1.42754144,1
246.91672,0.9092095,0.6204144,-6.3198576,-19.240723,0.34205696,8.741599,18.347532,27.089131000000002,1
128.27092,0.61042964,0.56454414,15.163359,0.41838595,0.25712726,21.817635,1.0251902,22.8428252,1
42.028526,1.1054378,0.6529105,-25.26798,26.677519,0.08049481,0.8714154,4.388696,5.2601114,0
241.3075,0.7154834,0.5602377,3.4638422,6.199853,0.23058632,0.052025508,3.6000295,3.652055008,1
43.94729,1.2768717,0.5641084,-38.236378,0.8873955,0.110395744,9.7494,0.28939795,10.03879795,0
53.707607,0.73357064,0.6073662,-31.41884,20.901234,0.1813843,31.212076,66.32457,97.53664599999999,0
172.49081,1.0524756,0.6877044,-21.825089,-21.408966,0.0,2.8647857,15.818008,18.6827937,1
57.15063,0.689667,0.5183178,-12.647348,-21.293844,0.0,5.8877444,4.3769007,10.2646451,1
62.44051,1.0200864,0.53342074,-35.76238,6.511732,0.1650624,0.6928896,0.39624113,1.08913073,1
505.01086,0.693172,0.56141794,-13.964093,7.286959,0.29311267,9.1188345,12.323421,21.4422555,0
84.46791,0.84511584,0.4939546,6.2282443,22.157806,0.1559508,7.306406,0.9358818,8.2422878,0
104.18855,0.66573894,0.51363695,-24.637142,3.2205145,0.1448637,0.15895566,1.4355843,1.5945399599999999,0
610.86725,0.6145441,0.50932276,3.971954,7.7585363,0.33432487,20.67042,3.4152608,24.0856808,0
170.61087,0.81231123,0.6243068,-9.214064,-10.730508,0.43676934,0.26813594,1.0072613,1.27539724,1
60.85756,0.6595145,0.53473514,17.164,40.351017,0.140117,11.834063,0.6307607,12.4648237,1
132.53528,0.65008086,0.23509417,-3.7649453,13.13404,0.1417638,2.8676317,1.9436032,4.8112349000000005,1
149.47264,1.6090157,0.6240839,18.824257,1.8976616,0.098359704,5.4780407,1.8651816,7.343222300000001,0
591.5275,0.6361884,0.5783068,5.397099,20.88377,0.2742704,12.171762,4.719994,16.891756,1
174.42935,1.1615666,0.54702216,4.325694,9.876618,0.20547345,3.3583632,0.08295628,3.4413194799999998,0
98.185196,0.124055386,0.06570565,-7.885732,-24.165382,0.25354996,40.582317,19.243025,59.825342000000006,0
389.72092,0.7659862,0.65973955,-7.4672337,-1.7993153,0.2137669,22.802256,2.0980425,24.900298499999998,0
194.01643,0.77280015,0.65441614,-6.772971,5.7200766,0.11913872,2.805593,0.7488318,3.5544248,1
143.9349,0.7533773,0.5598428,4.2609005,-12.935336,0.20749862,15.952043,18.335442,34.287485000000004,0
40.93561,0.62717587,0.35755622,31.044464,-29.568525,0.15893327,6.7643404,5.3516746,12.116015,0
59.11648,0.77455306,0.6748256,-16.735851,20.456457,0.08130286,4.3658195,1.2800074,5.645826899999999,0
125.45933,1.6635817,0.8693337,16.27133,-1.4282191,0.10599329,1.4048947,2.6836495,4.0885442,0
62.29814,1.0147345,0.54374737,-26.258448,-15.797802,0.15873592,9.092347,5.0756245,14.1679715,1
191.98631,0.7916446,0.7136217,-11.741623,-1.0317516,0.2630192,24.013678,1.3127116,25.3263896,0
171.66843,0.90778387,0.65658176,4.0199614,-9.285201,0.18166494,5.4635363,0.11653744,5.5800737400000004,1
42.87523,0.9114225,0.63174736,43.9624,-7.651651,0.23815036,7.826348,3.9510088,11.7773568,0
170.09705,0.759715,0.570385,12.0085335,-9.052398,0.17591411,4.452594,4.9963455,9.448939500000002,1
105.4718,0.769172,0.6223335,-35.84813,-15.311586,0.7979094,5.0494843,14.900479,19.9499633,1
49.084145,0.9247959,0.6147077,-29.373774,-6.0540648,0.101347394,2.3169887,3.6963959,6.0133846,0
54.71826,0.720325,0.59349114,37.41866,-0.37549916,0.055312853,1.0065682,0.61463207,1.62120027,0
158.57635,0.7878822,0.6428524,14.231625,-5.3469057,0.50085634,14.888741,9.670778,24.559519,1
100.569305,0.8684013,0.6326854,20.508734,1.1685164,0.18776192,0.8012168,6.562027,7.363243799999999,0
110.559746,0.7474463,0.6299798,2.8784082,21.740376,0.12012194,6.620408,3.261566,9.881974,0
263.52722,0.22034185,0.059709717,-3.210022,6.6686563,0.26621208,16.32191,0.1691791,16.4910891,1
288.49252,0.84171826,0.5691596,-1.7467893,6.3793936,0.18661739,0.012770539,0.37590444,0.38867497900000003,0
33.289036,1.7286526,0.60193354,17.106413,42.72513,0.10118411,0.16306126,1.1272339,1.29029516,1
290.2824,0.92561877,0.57479525,7.889967,-5.245409,0.22158998,1.1108916,2.0566804,3.167572,1
147.40869,0.6715983,0.5338397,18.445286,-5.556013,0.0,0.0,0.26461047,0.26461047,1
57.157154,0.8914383,0.66079754,14.980542,-36.868824,0.19313155,2.0224812,8.142916,10.1653972,0
108.622246,0.9604988,0.69284767,-19.595068,6.330811,0.08477592,0.739768,1.4206136,2.1603816,0
473.9579,0.82910836,0.5680927,-6.1537294,-1.1441637,0.19860296,0.0,4.144182,4.144182,0
77.721664,1.0234824,0.59527785,7.824324,-19.262087,0.44508284,6.798354,2.7808883,9.5792423,0
42.85118,0.85477644,0.6403383,-23.723734,26.614521,0.053928524,2.4101007,3.408615,5.8187157,0
565.4805,0.6044403,0.55085874,12.853508,7.2016454,0.0,1.8836049,0.6002616,2.4838665,0
232.93364,0.8658743,0.63720185,-10.736282,-5.1512628,0.49146962,0.0,0.5787534,0.5787534,1
39.42179,0.45522723,0.05493345,5.606198,40.29097,0.31716278,3.0443678,21.93517,24.9795378,0
57.91702,1.1242794,0.44166338,28.45392,28.323053,0.15037198,1.3325102,4.88261,6.215120199999999,1
296.08493,0.6776697,0.5981533,14.464367,-6.8504667,0.14883672,0.0,0.2170094,0.2170094,1
322.62265,0.69878525,0.5703845,-11.336193,-17.749882,0.26766223,0.18088554,1.693835,1.87472054,1
45.940254,0.96167094,0.6940913,18.839748,-37.10992,0.0,28.750921,14.60922,43.360141,0
293.89374,0.64575964,0.5041667,19.230444,-5.9259167,0.12113603,0.0,1.1953863,1.1953863,1
215.70305,0.9880731,0.6146432,25.490923,-7.8931284,0.0,10.1249485,21.236143,31.3610915,0
136.05304,0.94515723,0.59130746,16.36207,1.665992,0.4882924,21.722233,8.296221,30.018454,0
89.127266,0.73035955,0.6146631,-4.6749554,-15.998639,0.16474067,3.9703858,2.7162685,6.6866543,1
176.37883,0.60716015,0.5390706,-34.32707,-15.572579,0.20164223,5.1133947,5.0731096,10.1865043,1
168.92285,1.242877,0.5741666,22.136086,0.6120908,0.13971551,22.880539,3.2017002,26.0822392,0
327.028,0.9567437,0.57303995,-9.120772,-5.902032,0.14324966,1.0013871,2.2167652,3.2181523000000003,0
45.030518,1.4051657,0.6969731,29.783394,16.566343,0.0841008,1.2043269,5.560003,6.7643299,0
53.59543,0.63105065,0.49491268,-31.756113,8.19217,0.0,15.095312,1.8236235,16.9189355,1
100.31115,1.4243258,0.9992353,-8.153719,11.956446,0.1974523,0.8058064,25.90034,26.7061464,1
148.50659,0.7077669,0.58649385,35.310177,2.220704,0.12757182,0.42912364,2.155901,2.58502464,0
69.07255,1.3455304,0.5636681,-13.130752,16.61793,0.15655614,0.8367708,1.6843735,2.5211443,1
185.75609,0.6473102,0.58204955,2.4936478,27.300154,0.24309723,19.366453,5.1217732,24.4882262,1
322.51144,0.67273533,0.5764855,13.761083,11.317799,0.19699053,0.0,0.92120045,0.92120045,1
95.39612,0.80467945,0.5743213,-25.38953,11.4942465,0.17433369,5.3788133,3.685532,9.0643453,1
104.54449,0.8025023,0.6033251,22.855856,7.910116,0.09870128,0.263947,9.746934,10.010881,0
131.93585,0.702383,0.6072983,15.952785,8.911707,0.13701315,3.051245,3.0017092,6.0529542,0
105.99817,1.3598828,0.57691085,-9.534162,-9.500559,0.21353066,3.1214583,8.175496,11.296954300000001,0
292.22925,0.6460894,0.5600999,-37.959007,3.224173,0.25957325,11.345171,5.245091,16.590262000000003,0
74.23483,0.7188836,0.5672098,-23.175596,11.671518,0.10316413,1.3570232,0.53901744,1.8960406399999998,1
334.41266,0.70572233,0.3915907,12.712422,-23.715658,0.25263453,0.06850605,0.84527224,0.91377829,1
57.587173,0.7287122,0.556423,15.148741,-21.44926,0.07405999,2.5316322,3.9581726,6.4898048,1
108.96271,0.7177075,0.5801466,-13.284101,-36.044083,0.2248935,15.4129925,3.8233361,19.2363286,0
144.19324,0.73710054,0.5528253,27.712214,-16.102356,0.09344596,10.639665,7.5648293,18.2044943,0
165.98494,0.99402994,0.5606619,-7.022322,-19.826588,0.25980625,26.845253,6.244586,33.089839,0
73.75041,0.7075448,0.61752826,-10.35913,-20.038216,0.23577975,10.827815,0.59919703,11.42701203,1
533.65533,0.7179496,0.539481,8.267355,5.645244,0.23707637,0.59465504,1.4319273,2.02658234,0
156.4538,0.8882316,0.4939856,17.60309,-16.290089,0.0,15.969319,0.59208703,16.56140603,1
596.9245,0.63265896,0.58872473,13.365777,19.146433,0.18946935,0.6910821,1.0225301,1.7136122,1
86.64511,0.94671625,0.58901495,18.093851,7.8128924,0.300719,0.61059904,0.60736734,1.21796638,1
106.616875,0.66141933,0.56882197,-9.304851,17.860111,0.34177977,44.626038,5.1516724,49.777710400000004,0
77.07964,0.8885813,0.6281397,-26.260822,-16.840609,0.083989635,1.6269324,2.2166376,3.8435699999999997,0
162.22641,0.7016017,0.61788446,6.243918,-25.023727,0.14797026,4.993294,13.640378,18.633672,0
33.134743,0.6663749,0.5469119,36.739353,-28.89765,0.10213891,4.7680407,0.15871023,4.92675093,1
124.20167,0.811303,0.35866815,10.627055,-6.932389,0.13823222,12.982324,1.3790532,14.3613772,1
129.27515,0.7994938,0.64437723,-6.964826,-19.892563,0.099428006,5.3033404,0.88392365,6.18726405,1
138.7786,0.7263187,0.61126655,-6.1131077,16.628769,0.13154776,13.451428,12.717036,26.168464,1
61.689537,1.3552144,0.6332942,20.210072,-10.871282,0.1735567,0.84583247,1.0652035,1.91103597,1
